Sat Jan 11 00:16:14 2020       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.40.04    Driver Version: 418.40.04    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-SXM2...  Off  | 00000000:89:00.0 Off |                    0 |
| N/A   30C    P0    55W / 300W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Using device: cuda
/users/40160005/gridware/share/python/3.6.4/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:100: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule.See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
Epoch 001 [110/255]: Loss: 5.2897 Acc: 0.0048 (48.08s)
Epoch 001 [111/255]: Loss: 5.2897 Acc: 0.0048 (48.46s)
Epoch 001 [112/255]: Loss: 5.2896 Acc: 0.0047 (48.84s)
Epoch 001 [113/255]: Loss: 5.2897 Acc: 0.0047 (49.21s)
Epoch 001 [114/255]: Loss: 5.2898 Acc: 0.0047 (49.57s)
Epoch 001 [115/255]: Loss: 5.2899 Acc: 0.0046 (49.95s)
Epoch 001 [116/255]: Loss: 5.2899 Acc: 0.0046 (50.32s)
Epoch 001 [117/255]: Loss: 5.2898 Acc: 0.0045 (50.77s)
Epoch 001 [118/255]: Loss: 5.2896 Acc: 0.0045 (51.13s)
Epoch 001 [119/255]: Loss: 5.2896 Acc: 0.0045 (51.52s)
Epoch 001 [120/255]: Loss: 5.2895 Acc: 0.0047 (51.86s)
Epoch 001 [121/255]: Loss: 5.2894 Acc: 0.0046 (52.29s)
Epoch 001 [122/255]: Loss: 5.2894 Acc: 0.0049 (52.66s)
Epoch 001 [123/255]: Loss: 5.2892 Acc: 0.0048 (52.99s)
Epoch 001 [124/255]: Loss: 5.2892 Acc: 0.0050 (53.33s)
Epoch 001 [125/255]: Loss: 5.2892 Acc: 0.0050 (53.72s)
Epoch 001 [126/255]: Loss: 5.2892 Acc: 0.0050 (54.13s)
Epoch 001 [127/255]: Loss: 5.2891 Acc: 0.0049 (54.49s)
Epoch 001 [128/255]: Loss: 5.2892 Acc: 0.0049 (54.87s)
Epoch 001 [129/255]: Loss: 5.2891 Acc: 0.0048 (55.26s)
Epoch 001 [130/255]: Loss: 5.2890 Acc: 0.0053 (55.63s)
Epoch 001 [131/255]: Loss: 5.2889 Acc: 0.0052 (56.00s)
Epoch 001 [132/255]: Loss: 5.2888 Acc: 0.0054 (56.40s)
Epoch 001 [133/255]: Loss: 5.2887 Acc: 0.0054 (56.75s)
Epoch 001 [134/255]: Loss: 5.2887 Acc: 0.0054 (57.09s)
Epoch 001 [135/255]: Loss: 5.2888 Acc: 0.0053 (57.45s)
Epoch 001 [136/255]: Loss: 5.2887 Acc: 0.0053 (57.86s)
Epoch 001 [137/255]: Loss: 5.2886 Acc: 0.0052 (58.21s)
Epoch 001 [138/255]: Loss: 5.2886 Acc: 0.0052 (58.55s)
Epoch 001 [139/255]: Loss: 5.2884 Acc: 0.0052 (58.90s)
Epoch 001 [140/255]: Loss: 5.2884 Acc: 0.0051 (59.31s)
Epoch 001 [141/255]: Loss: 5.2884 Acc: 0.0051 (59.69s)
Epoch 001 [142/255]: Loss: 5.2883 Acc: 0.0053 (60.03s)
Epoch 001 [143/255]: Loss: 5.2883 Acc: 0.0052 (60.45s)
Epoch 001 [144/255]: Loss: 5.2883 Acc: 0.0052 (60.82s)
Epoch 001 [145/255]: Loss: 5.2882 Acc: 0.0054 (61.17s)
Epoch 001 [146/255]: Loss: 5.2881 Acc: 0.0056 (61.59s)
Epoch 001 [147/255]: Loss: 5.2880 Acc: 0.0055 (61.92s)
Epoch 001 [148/255]: Loss: 5.2880 Acc: 0.0055 (62.29s)
Epoch 001 [149/255]: Loss: 5.2877 Acc: 0.0055 (62.65s)
